NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles
,,,,,,,,,0,,,C[N+]1:C2:C:C(N):C:C:C:2:C:C2:C:C:C(N):C:C:2:1.NC1:C:C:C2:C:C3:C:C:C(N):C:C:3:N:C:2:C:1.[Cl-]
,,,,,,,,,0,,,O=C([O-])C1:C:C:C:C:C:1C1:C2:C:C(Br):C(=O):C(Br):C2:O:C2:C(Br):C([O-]):C(Br):C:C:1:2.[Na+].[Na+]
,,,,,,,,,0,,,CO[C@H]1CC(O[C@H]2C[C@H]([C@H]3O[C@](C)(O)[C@H](C)C[C@@H]3C)O[C@H]2[C@]2(C)CC[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H]5O[C@](O)(CC(=O)[O-])[C@@H](C)[C@H](OC)[C@H]5OC)O4)O3)O2)O[C@@H](C)[C@@H]1OC.[NH4+]
,,,,,,,,,1,,,CN(C)C1:C:C:C(C(=C2C=CC(=[N+](C)C)C=C2)C2:C:C:C:C:C:2):C:C:1.CN(C)C1:C:C:C(C(=C2C=CC(=[N+](C)C)C=C2)C2:C:C:C:C:C:2):C:C:1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
0,,,,,,,,,,,,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1:C:[NH]:C2:C:C:C:C:C:1:2)NC(=O)[C@H](CC1:C:C:C(O):C:C:1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1:C:[NH]:C2:C:C:C:C:C:1:2)NC(=O)[C@H](CC1:C:[NH]:C:N:1)NC(=O)[C@@H]1CCC(=O)N1
,,,,,,,,,1,,,CCCCCCCCNC(C)C(O)C1:C:C:C(SC(C)C):C:C:1
,,,,,,,,,1,,,CC1:C:C:C([N+](=O)[O-]):C2:C:1O[Hg]2
,,,,,,,,,1,,,CCN(CC)C(=S)SSC(=S)N(CC)CC
0,,,,,,,,,,,,CCCCCCOC1:C:C:C(C(=N)N(CCCC)CCCC):C2:C:C:C:C:C:1:2.Cl
0,,,,,,,,,,,,COCC(=O)O[C@]1(CCN(C)CCCC2:N:C3:C:C:C:C:C:3:[NH]:2)CCC2:C:C(F):C:C:C:2[C@@H]1C(C)C.Cl.Cl
