iter	Logloss
0	0.6295696303
1	0.5816143574
2	0.5356905091
3	0.5033889446
4	0.4653312082
5	0.4324225008
6	0.4089941294
7	0.3778047609
8	0.3610061831
9	0.3399498097
10	0.3243917855
11	0.3088044495
12	0.2952299205
13	0.2819352003
14	0.2660357571
15	0.2528341989
16	0.2409243862
17	0.2307400588
18	0.2182363184
19	0.2081545393
20	0.201317873
21	0.191578849
22	0.186508465
23	0.1789446279
24	0.1742306574
25	0.1675572488
26	0.160712023
27	0.155917226
28	0.1521185578
29	0.1462804969
30	0.1421583853
31	0.1387268676
32	0.134639316
33	0.1302327135
34	0.1267947346
35	0.1220248593
