iter	Passed	Remaining
0	1544	1542516
1	2411	1203261
2	3291	1093865
3	4154	1034375
4	5030	1001121
5	5905	978333
6	6787	962903
7	7648	948422
8	8506	936685
9	9363	926959
10	10208	917816
11	11066	911134
12	11916	904708
13	12778	899955
14	13641	895790
15	14494	891438
16	15435	892548
17	16342	891575
18	17196	887880
19	18122	888018
20	19112	891000
21	20060	891777
22	20990	891656
23	21894	890359
24	22793	888964
25	23649	885931
26	24502	883006
27	25368	880643
28	26208	877523
29	27053	874732
30	27899	872079
31	28811	871559
32	29681	869750
33	30538	867657
34	31546	869780
35	32406	867781
